SCHEDULEDATE   20170404
DAY 1     Thursday 13th April                    
Time      MOJO                                                   
22.30     Patti Smith and Her Band perform Horses                
21.00     Courtney Barnett                                       
19.30     Vintage Trouble                                        
18.00     The Strumbellas                                        
16.30     Andrew Bird                                            
15.00     Trevor Hall                                          
14.45     Welcome to Country                                   
Time      CROSSROADS                                             
23.00     NAS & guests The Soul Rebels                        
21.30     Gallant                                                
20.00     Miles Electric Band                                    
18.30     Snarky Puppy                                           
17.00     Max Jury                                               
                                                                 
Time      JAMBALAYA                                              
22.30     St. Paul & The Broken Bones                            
21.00     Trombone Shorty & Orleans Avenue                       
19.30     Corinne Bailey Rae                                     
18.00     Mavis Staples                                          
16.30     Rhiannon Giddens                                       
15.00     Davy Knowles                                           
                                                               
                                                               
Time      DELTA                                                  
23.00     The Mountain Goats                                     
21.30     Mud Morganfield                                        
20.00     Eric Gales                                             
18.30     Nikki Hill                                             
17.00     Irish Mythen                                           
15.45     Lucy Gallant                                           
                                                                 
                                                                 
Time      JUKE JOINT                                             
22.30     Dumpstaphunk                                           
21.00     The California Honeydrops                              
19.30     The Suffers                                            
18.00     Joan Osborne                                           
16.30     Melody Angel                                           
15.00     Devon Allman Band                                      
14.00     Blind Boy Paxton                                       
                                                                 

                                                               

DAY 2           Friday 14th April           
Time    MOJO                                     
22.00   Mary J Blige                             
20.30   Snarky Puppy                             
19.00   Trombone Shorty & Orleans Avenue         
17.30   Gallant                                  
16.00   Michael Kiwanuka                         
14.30   Max Jury                                 
13.45   Arakwal Opening Ceremony                 
Time    CROSSROADS                               
22.45   The Lumineers                            
20.45   Bonnie Raitt                             
18.45   Jimmy Buffett                            
17.15   Patti Smith and Band Acoustic                 
15.45   Mavis Staples                            
14.15   Rhiannon Giddens                         
Time    JAMBALAYA                                
23.00   The Mountain Goats                       
21.30   Playing for Change                       
20.00   Gregory Porter                           
18.30   Rickie Lee Jones                         
17.00   Roy Ayers                                
15.30   Ellis Hall               
14.00   Melody Angel                             
12.30   Busby Marou                              
Time    DELTA                                    
22.30   Dumpstaphunk                             
21.00   The Suffers                              
19.30   The Soul Rebels                          
18.00   Devon Allman Band                        
16.30   The Strumbellas                          
15.00   Joan Osborne                             
13.30   Nikki Hill                               
12.00   Blind Boy Paxton                         
Time    JUKE JOINT                               
23.00   Mud Morganfield                          
21.30   Eric Gales                               
20.00   The California Honeydrops                
18.30   Davy Knowles                             
17.00   Wouter Kellerman                         
Time    BOOMERANG                                
15.30   OKA                                      
15.00   Jannawi Dance Clan          
14.15   Emily Wurramara                          
13.45   Excelsior     
13.00   Yirrmal                                  
12.30   Airileke and Rize Of the Morning Star      
12.00   Tenzin Choegyal                
                                                               
                                                               
                                                               
DAY 3               Saturday 15th April         
Time    MOJO                                    
22.30   The Doobie Brothers                     
21.00   Sir Rosevelt                            
19.30   Corinne Bailey Rae                      
18.00   Gregory Porter                          
16.30   Vasti Jackson              
15.00   Max Jury                                
                                                
Time    CROSSROADS                              
23.00   St. Paul & The Broken Bones             
21.00   Buddy Guy                               
19.30   Beth Hart                               
18.00   Vintage Trouble                         
16.30   Billy Bragg            
15.00   Nikki Hill                              
Time    JAMBALAYA                               
23.00   Slightly Stoopid                        
21.30   Nahko and Medicine for the People         
20.00   The Record Company                      
18.30   Irish Mythen                            
17.00   Jake Shimabukuro                        
15.30   Australian Ukulele Show             
14.00   The Wilson Pickers                      
12.30   Little Georgia                          
Time    DELTA                                   
22.30   Devon Allman Band                       
21.00   Roy Ayers                               
19.30   Laura Mvula                             
18.00   Turin Brakes                            
16.30   Rickie Lee Jones                        
15.00   Trevor Hall                             
13.30   Ray Beadle & The Silver Dollars         
12.00   Jeff Lang                               
Time    JUKE JOINT                              
23.00   The California Honeydrops               
21.30   Davy Knowles                            
20.00   Blind Boy Paxton                        
18.30   Joan Osborne                            
17.00   Melody Angel                            
Time    BOOMERANG                               
15.30   Emily Wurramara                         
15.00   Jannawi Dance Clan  
14.00   Leonard Sumner                          
13.30   Excelsior   
12.30   Yirrmal                                 
 

                          
DAY 4                   Sunday 16th April     
Time    MOJO                                  
22.00   Madness                               
20.30   Michael Kiwanuka                      
19.00   Slightly Stoopid                      
17.00   Playing for Change                    
15.30   Nic Cester & The Milano Elettrica     
14.00   Jake Shimabukuro                      
12.30   Irish Mythen                          
Time    CROSSROADS                            
22.00   Zac Brown Band                        
19.30   Santana                               
17.30   Buddy Guy                             
16.00   Jethro Tull                           
14.30   The Record Company                    
13.00   Round Mountain Girls                  
Time    JAMBALAYA                             
22.30   Booker T. presents The Stax Revue     
21.00   Mavis Staples                         
19.30   Laura Mvula                           
18.00   Remi                                  
16.30   The Suffers                           
15.00   Rhiannon Giddens                      
13.30   Davy Knowles                          
12.00   Lloyd Spiegel                         
Time    DELTA                                 
22.30   Experience Jimi Hendrix               
21.00   Nikki Hill                            
19.30   Eric Gales                            
18.00   Turin Brakes                          
16.30   Devon Allman Band                     
15.00   Mud Morganfield                       
13.30   Glenn Cardier and the Sideshow        
12.15   Ivy   
Time    JUKE JOINT                            
23.00   Dumpstaphunk                          
21.30   The California Honeydrops             
20.00   Australian Ukulele Show               
18.30   Max Jury                              
17.00   Wouter Kellerman                      
Time    BOOMERANG                             
15.30   Leonard Sumner                        
15.00   Excelsior 
14.30   Tenzin Choegyal     
14.00   Jannawi Dance Clan      
13.30   Airileke and Rize of the Morning Star   
13.00   Excelsior 
12.00   OKA                                   

 
DAY 5                  Monday 17th April 
Time    MOJO                             
20.15   Zac Brown Band                   
18.30   Beth Hart                        
17.00   St. Paul & The Broken Bones      
15.30   Miles Electric Band              
14.00   The Suffers                      
                                         
                                         
Time    CROSSROADS                       
20.30   Neil Finn                        
18.45   Kasey Chambers                   
17.15   Busby Marou                      
15.45   Playing for Change               
14.15   Nic Cester & The Milano Elettrica
12.45   Laura Mvula                      
Time    JAMBALAYA                        
22.00   Dumpstaphunk                     
20.30   Mavis Staples                    
18.30   Booker T presents The Stax Revue 
16.30   Billy Bragg and Joe Henry          
15.00   Tony Joe White                   
13.30   Glenn Cardier and the Sideshow   
                                         
                                         
Time    DELTA                            
22.30   Nahko and Medicine for the People  
21.00   The Record Company               
19.30   Remi                             
18.00   Jeff Lang                        
16.30   Lloyd Spiegel                    
15.00   Ray Beadle & The Silver Dollars  
13.30   Blind Boy Paxton                 
12.15   2017 Busking Competition Winner  
Time    JUKE JOINT                       
22.30   The California Honeydrops        
21.00   Devon Allman Band                
19.30   Melody Angel                     
18.00   Little Georgia                   
16.30   Lucy Gallant                     
15.00   The Wilson Pickers               
13.30   Round Mountain Girls             
12.00   Local Area High School Showcase  
